"Language","original","english","russian","spanish","portuguese","italian","german","chinesesimp","french","polish","czech","turkish","ukrainian","japanese","korean","chinesetrad","arabic"
"STR_DRL_BADLY_DAMAGED","Badly Damaged","Badly Damaged","Сильно повреждённое","Muy dañado","Muito danificado","Molto danneggiato","Stark beschädigt","严重损坏的","Très endommagé","Mocno uszkodzone","Silně poškozené","Çok hasarlı","Сильно пошкоджене","ひどく損傷","심하게 손상됨","嚴重損壞的","متضرر بشدة"
"STR_DRL_RECRAFT_RECIPE","Disassembly","Disassembly","Разборка","Desmontaje","Desmontagem","Smontaggio","Demontage","拆解","Démontage","Demontaż","Rozebrání","Sökme","Розбірка","分解","분해","拆解","تفكيك"
"STR_DRL_RE_START","Dismantle","Dismantle","Разобрать","Desmontar","Desmontar","Smontare","Zerlegen","拆解","Démonter","Rozłożyć","Rozebrat","Sök","Розібрати","解体","분해하다","拆卸","تفكيك"
"STR_DRL_CRAFT_CATEGORY_TITEL","All recipes","All recipes","Все рецепты","Todas las recetas","Todas as receitas","Tutte le ricette","Alle Rezepte","所有配方","Toutes les recettes","Wszystkie przepisy","Všechny recepty","Tüm tarifler","Усі рецепти","すべてのレシピ","모든 레시피","所有配方","جميع الوصفات"
"STR_DRL_WARNING_TEXT","Warning:\nPlease note! Some items are available only if you have enough required resources in your backpack, while others require specific skills.","Warning:\nPlease note! Some items are available only if you have enough required resources in your backpack, while others require specific skills.","Предупреждение:\nОбратите внимание! Некоторые предметы доступны только если в вашем рюкзаке достаточно требуемых ресурсов, а некоторые требуют навыков.","Advertencia:\n¡Atención! Algunos objetos solo están disponibles si tienes suficientes recursos requeridos en tu mochila, y otros requieren habilidades.","Aviso:\nAtenção! Alguns itens estão disponíveis apenas se você tiver recursos suficientes na sua mochila, e outros exigem habilidades.","Avviso:\nAttenzione! Alcuni oggetti sono disponibili solo se nello zaino hai le risorse necessarie, mentre altri richiedono abilità.","Warnung:\nBeachten Sie! Einige Gegenstände sind nur verfügbar, wenn Sie genügend erforderliche Ressourcen im Rucksack haben, während andere bestimmte Fähigkeiten erfordern.","警告：\n请注意！某些物品仅在您的背包中有足够所需资源时可用，而某些则需要技能。","Avertissement :\nVeuillez noter ! Certains objets ne sont disponibles que si vous avez suffisamment de ressources requises dans votre sac à dos, tandis que d’autres nécessitent des compétences.","Ostrzeżenie:\nUwaga! Niektóre przedmioty są dostępne tylko wtedy, gdy masz w plecaku wystarczająco wymaganych zasobów, a inne wymagają umiejętności.","Varování:\nUpozornění! Některé předměty jsou dostupné pouze tehdy, pokud máte v batohu dostatek požadovaných surovin, jiné vyžadují dovednosti.","Uyarı:\nDikkat edin! Bazı eşyalar yalnızca çantanızda yeterli kaynak varsa kullanılabilir, bazıları ise beceri gerektirir.","Попередження:\nЗверніть увагу! Деякі предмети доступні лише якщо у вашому рюкзаку достатньо необхідних ресурсів, а деякі потребують навичок.","警告：\n注意！一部のアイテムは、バックパックに十分なリソースがある場合にのみ利用可能で、他のアイテムはスキルが必要です。","경고:\n주의하세요! 일부 아이템은 가방에 충분한 자원이 있을 때만 사용할 수 있으며, 일부는 기술이 필요합니다.","警告：\n請注意！某些物品僅在您的背包中有足夠所需資源時可用，而某些則需要技能。","تحذير:\nيرجى الانتباه! بعض العناصر متاحة فقط إذا كان في حقيبتك ما يكفي من الموارد المطلوبة، بينما يتطلب البعض الآخر مهارات."
"STR_DRL_INV_SLOTS_EMPTY","Inventory: total slots — / free —","Inventory: total slots — / free —","Инвентарь: всего слотов — / свободно —","Inventario: espacios totales — / libres —","Inventário: slots totais — / livres —","Inventario: slot totali — / liberi —","Inventar: Gesamtslots — / frei —","物品栏: 总格子数 — / 空闲 —","Inventaire : emplacements totaux — / libres —","Ekwipunek: sloty ogółem — / wolne —","Inventář: celkem slotů — / volné —","Envanter: toplam yuvalar — / boş —","Інвентар: всього слотів — / вільно —","インベントリ: 合計スロット — / 空き —","인벤토리: 총 슬롯 — / 여유 —","物品欄: 總格子數 — / 空閒 —","الجرد: إجمالي الخانات — / المتاحة —"
"STR_DRL_INV_TOTAL","Inventory: total slots","Inventory: total slots","Инвентарь: всего слотов","Inventario: espacios totales","Inventário: slots totais","Inventario: slot totali","Inventar: Gesamtslots","物品栏: 总格子数","Inventaire : emplacements totaux","Ekwipunek: sloty ogółem","Inventář: celkem slotů","Envanter: toplam yuvalar","Інвентар: всього слотів","インベントリ: 合計スロット","인벤토리: 총 슬롯","物品欄: 總格子數","الجرد: إجمالي الخانات"
"STR_DRL_FREE_ONLY","/ free","/ free","/ свободно","/ libres","/ livres","/ liberi","/ frei","/ 空闲","/ libre","/ wolne","/ volné","/ boş","/ вільно","/ 空き","/ 여유","/ 空閒","/ متاح"
"STR_DRL_MIN","min.","min.","мин.","min.","min.","min.","Min.","分","min.","min.","min.","dk.","хв.","分","분","分","دقيقة"
"STR_DRL_SEC","sec.","sec.","сек.","seg.","s","sec.","Sek.","秒","sec.","sek.","s","sn.","сек.","秒","초","秒","ثانية"
"STR_DRL_DMG_PERCENT","Damaged by ","Damaged by ","Поврежден на ","Dañado en ","Danificado em ","Danneggiato del ","Beschädigt um ","损坏 ","Endommagé de ","Uszkodzony o ","Poškozeno o ","Zarar gördü ","Пошкоджено на ","損傷 ","손상 ","損壞 ","تلف بمقدار "
"STR_DRL_NO_RECIPE","No recipe","No recipe","Нет рецепта","Sin receta","Sem receita","Nessuna ricetta","Kein Rezept","没有配方","Pas de recette","Brak przepisu","Žádný recept","Tarif yok","Немає рецепта","レシピなし","레시피 없음","沒有配方","لا توجد وصفة"
"STR_DRL_STATS_TITLE","Characteristics:","Characteristics:","Характеристики:","Características:","Características:","Caratteristiche:","Eigenschaften:","属性：","Caractéristiques :","Charakterystyka:","Charakteristiky:","Özellikler:","Характеристики:","特性:","특성:","屬性：","الخصائص:"
"STR_DRL_STATS_DURABILITY","• Durability: ","• Durability: ","• Прочность: ","• Durabilidad: ","• Durabilidade: ","• Durabilità: ","• Haltbarkeit: ","• 耐久度: ","• Durabilité : ","• Trwałość: ","• Odolnost: ","• Dayanıklılık: ","• Міцність:","• 耐久度:","• 내구성:","• 耐久度:","• المتانة: "
"STR_DRL_STATS_DURABILITY_NONE","• Durability: —","• Durability: —","• Прочность: —","• Durabilidad: —","• Durabilidade: —","• Durabilità: —","• Haltbarkeit: —","• 耐久度: —","• Durabilité : —","• Trwałość: —","• Odolnost: —","• Dayanıklılık: —","• Міцність: —","• 耐久度: —","• 내구성: —","• 耐久度: —","• المتانة: —"
"STR_DRL_STATS_BULLET","• Bullet protection: ","• Bullet protection: ","• Защита от пуль: ","• Protección contra balas: ","• Proteção contra balas: ","• Protezione dai proiettili: ","• Kugelschutz: ","• 子弹防护: ","• Protection contre les balles : ","• Ochrona przed kulami: ","• Ochrana proti střelám: ","• Mermi koruması: ","• Захист від куль:","• 弾丸防御:","• 방탄:","• 子彈防護:","• الحماية من الرصاص: "
"STR_DRL_STATS_BULLET_NONE","• Bullet protection: —","• Bullet protection: —","• Защита от пуль: —","• Protección contra balas: —","• Proteção contra balas: —","• Protezione dai proiettili: —","• Kugelschutz: —","• 子弹防护: —","• Protection contre les balles : —","• Ochrona przed kulami: —","• Ochrana proti střelám: —","• Mermi koruması: —","• Захист від куль: —","• 弾丸防御: —","• 방탄: —","• 子彈防護: —","• الحماية من الرصاص: —"
"STR_DRL_STATS_KNIFE","• Knife protection: ","• Knife protection: ","• Защита от ножа: ","• Protección contra cuchillo: ","• Proteção contra faca: ","• Protezione da coltello: ","• Messerschutz: ","• 刀具防护: ","• Protection contre les couteaux : ","• Ochrona przed nożami: ","• Ochrana proti nožům: ","• Bıçak koruması: ","• Захист від ножа:","• ナイフ防御:","• 칼 방어:","• 刀具防護:","• الحماية من السكاكين: "
"STR_DRL_STATS_KNIFE_NONE","• Knife protection: —","• Knife protection: —","• Защита от ножа: —","• Protección contra cuchillo: —","• Proteção contra faca: —","• Protezione da coltello: —","• Messerschutz: —","• 刀具防护: —","• Protection contre les couteaux : —","• Ochrona przed nożami: —","• Ochrana proti nožům: —","• Bıçak koruması: —","• Захист від ножа: —","• ナイフ防御: —","• 칼 방어: —","• 刀具防護: —","• الحماية من السكاكين: —"
"STR_DRL_STATS_INFECTED","• Infected protection: ","• Infected protection: ","• Защита от заражённых: ","• Protección contra infectados: ","• Proteção contra infectados: ","• Protezione dagli infetti: ","• Infiziertenschutz: ","• 感染者防护: ","• Protection contre les infectés : ","• Ochrona przed zainfekowanymi: ","• Ochrana proti nakaženým: ","• Enfekte koruması: ","• Захист від заражених:","• 感染防御:","• 감염 방어:","• 感染者防護:","• الحماية من المصابين: "
"STR_DRL_STATS_INFECTED_NONE","• Infected protection: —","• Infected protection: —","• Защита от заражённых: —","• Protección contra infectados: —","• Proteção contra infectados: —","• Protezione dagli infetti: —","• Infiziertenschutz: —","• 感染者防护: —","• Protection contre les infectés : —","• Ochrona przed zainfekowanymi: —","• Ochrana proti nakaženým: —","• Enfekte koruması: —","• Захист від заражених: —","• 感染防御: —","• 감염 방어: —","• 感染者防護: —","• الحماية من المصابين: —"
"STR_DRL_STATS_GRENADE","• Grenade protection: ","• Grenade protection: ","• Защита от гранат: ","• Protección contra granadas: ","• Proteção contra granadas: ","• Protezione dalle granate: ","• Granatenschutz: ","• 手雷防护: ","• Protection contre les grenades : ","• Ochrona przed granatami: ","• Ochrana proti granátům: ","• El bombası koruması: ","• Захист від гранат:","• グレネード防御:","• 수류탄 방어:","• 手雷防護:","• الحماية من القنابل اليدوية: "
"STR_DRL_STATS_GRENADE_NONE","• Grenade protection: —","• Grenade protection: —","• Защита от гранат: —","• Protección contra granadas: —","• Proteção contra granadas: —","• Protezione dalle granate: —","• Granatenschutz: —","• 手雷防护: —","• Protection contre les grenades : —","• Ochrona przed granatami: —","• Ochrana proti granátům: —","• El bombası koruması: —","• Захист від гранат: —","• グレネード防御: —","• 수류탄 방어: —","• 手雷防護: —","• الحماية من القنابل اليدوية: —"
"STR_DRL_ATACH_INGRIDIENT_TITEL","Additional items:","Additional items:","Дополнительные предметы:","Objetos adicionales:","Itens adicionais:","Oggetti aggiuntivi:","Zusätzliche Gegenstände:","附加物品：","Objets supplémentaires :","Dodatkowe przedmioty:","Další předměty:","Ekstra eşyalar:","Додаткові предмети:","追加アイテム:","추가 아이템:","附加物品：","عناصر إضافية:"
"STR_VERSTAK_STARTWORK","Start working","Start working","Приступить к работе","Empezar a trabajar","Começar a trabalhar","Iniziare a lavorare","Mit der Arbeit beginnen","开始工作","Commencer à travailler","Rozpocznij pracę","Začít pracovat","Çalışmaya başla","Почати роботу","作業を開始","작업 시작","開始工作","ابدأ العمل"
"STR_VERSTAK","Workbench","Workbench","Верстак","Banco de trabajo","Bancada","Banco da lavoro","Werkbank","工作台","Établi","Stół warsztatowy","Pracovní stůl","Tezgâh","Верстак","作業台","작업대","工作臺","منضدة العمل"
"STR_VERSTAK_DESCRIPTION","Workbench for crafting any type of tools, parts, items, and objects.","Workbench for crafting any type of tools, parts, items, and objects.","Верстак для изготовления любого типа инструментов, деталей, вещей и предметов.","Banco de trabajo para fabricar cualquier tipo de herramientas, piezas, objetos y artículos.","Bancada para fabricar qualquer tipo de ferramentas, peças, itens e objetos.","Banco da lavoro per realizzare qualsiasi tipo di strumenti, parti, oggetti e articoli.","Werkbank zur Herstellung aller Arten von Werkzeugen, Teilen, Gegenständen und Objekten.","工作台可用于制作各种工具、零件、物品和物件。","Établi pour fabriquer tout type d'outils, pièces, objets et articles.","Stół warsztatowy do wytwarzania wszelkiego rodzaju narzędzi, części, przedmiotów i obiektów.","Pracovní stůl pro výrobu jakéhokoli typu nástrojů, součástí, předmětů a objektů.","Her tür araç, parça, eşya ve nesne üretimi için tezgâh.","Верстак для виготовлення будь-яких інструментів, деталей, речей та предметів.","あらゆる種類の道具、部品、アイテム、物を作るための作業台。","모든 종류의 도구, 부품, 아이템, 물건 제작용 작업대.","工作臺可用於製作各種工具、零件、物品和物件。","منضدة لصنع أي نوع من الأدوات أو الأجزاء أو العناصر أو الأشياء."
"STR_ResultCraftRecipeTitel","Craft Results","Craft Results","Результаты крафта","Resultados de crafteo","Resultados de Craft","Risultati del crafting","Crafting-Ergebnisse","制作结果","Résultats du craft","Wyniki craftingu","Výsledky výroby","Üretim sonuçları","Результати крафту","クラフト結果","제작 결과","製作結果","نتائج الصنع"
"STR_DRL_NEED_ATTACHMENT","Required attachments","Required attachments","Требуются обвесы","Se requieren accesorios","Anexos necessários","Accessori richiesti","Benötigte Aufsätze","需要的配件","Accessoires requis","Wymagane dodatki","Požadované příslušenství","Gerekli eklentiler","Потрібні обвіси","必要なアタッチメント","필요한 부착물","需要的配件","الملحقات المطلوبة"
"STR_SELECT","Options:","Options:","Варианты:","Opciones:","Opções:","Opzioni:","Optionen:","选项：","Options :","Opcje:","Možnosti:","Seçenekler:","Варіанти:","オプション:","옵션:","選項：","الخيارات:"
"STR_DRL_RECRAFT","Dismantle","Dismantle","Разобрать","Desmontar","Desmontar","Smontare","Zerlegen","拆解","Démonter","Rozłożyć","Rozebrat","Sök","Розібрати","解体","분해하다","拆卸","تفكيك"
"STR_DRL_DAMAGE_PER_CRAFT","Damage per craft: %1%","Damage per craft: %1%","Урон за крафт: %1%","Daño por crafteo: %1%","Dano de criação: %1%","Danno da crafting: %1%","Schaden beim Crafting: %1%","制作损耗: %1%","Dégâts de fabrication : %1%","Obrażenia za craft: %1%","Poškození za výrobu: %1%","Üretim hasarı: %1%","Урон за крафт: %1%","クラフトによる損傷: %1%","제작 피해: %1%","製作損耗: %1%","أضرار الصنع: %1%"
"STR_DRL_STATE_DESC_NONE","State: —","State: —","Состояние: —","Estado: —","Estado: —","Stato: —","Zustand: —","状态: —","État : —","Stan: —","Stav: —","Durum: —","Стан: —","状態: —","상태: —","狀態: —","الحالة: —"
"STR_DRL_STATE_DESC_PRISTINE","State: Pristine","State: Pristine","Состояние: Нетронутое","Estado: Impecable","Estado: Impecável","Stato: Perfetto","Zustand: Makellos","状态: 完好","État : Impeccable","Stan: Nienaruszony","Stav: Neporušené","Durum: Kusursuz","Стан: Неторкане","状態: 完璧","상태: 완전함","狀態: 完好","الحالة: سليم"
"STR_DRL_STATE_DESC_WORN","State: Worn","State: Worn","Состояние: Поношенное","Estado: Gastado","Estado: Gasto","Stato: Usato","Zustand: Abgenutzt","状态: 磨损","État : Usé","Stan: Zużyty","Stav: Opotřebované","Durum: Eskimiş","Стан: Зношене","状態: 使い古し","상태: 마모됨","狀態: 磨損","الحالة: مستهلك"
"STR_DRL_STATE_DESC_DAMAGED","State: Damaged","State: Damaged","Состояние: Поврежденное","Estado: Dañado","Estado: Danificado","Stato: Danneggiato","Zustand: Beschädigt","状态: 受损","État : Endommagé","Stan: Uszkodzony","Stav: Poškozené","Durum: Hasarlı","Стан: Пошкоджене","状態: 損傷","상태: 손상됨","狀態: 受損","الحالة: تالف"
"STR_DRL_STATE_DESC_BADLY_DAMAGED","State: Badly damaged","State: Badly damaged","Состояние: Сильно поврежденное","Estado: Muy dañado","Estado: Muito danificado","Stato: Molto danneggiato","Zustand: Stark beschädigt","状态: 严重损坏","État : Très endommagé","Stan: Mocno uszkodzony","Stav: Silně poškozené","Durum: Çok hasarlı","Стан: Сильно пошкоджене","状態: ひどく損傷","상태: 심하게 손상됨","狀態: 嚴重損壞","الحالة: متضرر بشدة"
"STR_DRL_STATE_DESC_RUINED","State: Ruined","State: Ruined","Состояние: Уничтожено","Estado: Arruinado","Estado: Arruinado","Stato: Rovinato","Zustand: Zerstört","状态: 毁坏","État : Ruiné","Stan: Zniszczony","Stav: Zničené","Durum: Harap","Стан: Зруйноване","状態: 壊れた","상태: 파괴됨","狀態: 毀壞","الحالة: مدمر"
"STR_CRAFT_URON","Craft damage:","Craft damage:","Урон за крафт:","Daño por crafteo:","Dano de criação:","Danno da crafting:","Schaden beim Crafting:","制作损耗:","Dégâts de fabrication :","Obrażenia za craft:","Poškození při výrobě:","Üretim hasarı:","Урон за крафт:","クラフトによる損傷:","제작 피해:","製作損耗:","ضرر الصنع:"
"STR_DRL_OPEN_CRAFT_MENU","Open Craft Menu","Open Craft Menu","Открытие меню крафта","Abrir menú de creación","Abrir menu de criação","Apri menu di creazione","Crafting-Menü öffnen","打开制作菜单","Ouvrir le menu de craft","Otwórz menu rzemiosła","Otevřít výrobní menu","Üretim menüsünü aç","Відкрити меню крафту","クラフトメニューを開く","제작 메뉴 열기","打開製作菜單","افتح قائمة الصنع"
"STR_DRL_CRAFT_GROUP","Craft System","Craft System","Система крафта","Sistema de crafteo","Sistema de criação","Sistema di creazione","Craft-System","制作系统","Système de craft","System rzemiosła","Systém výroby","Zanaat sistemi","Система крафту","クラフトシステム","제작 시스템","製作系統","نظام الصنع"
"STR_Craft_Kit","Workbench","Workbench","Верстак","Banco de trabajo","Bancada","Banco da lavoro","Werkbank","工作台","Établi","Stół warsztatowy","Pracovní stůl","Tezgah","Верстак","作業台","작업대","工作台","منضدة العمل"
"STR_Craft_Garden_Kit","Farming Station","Farming Station","Фермерский станок","Estación de cultivo","Estação agrícola","Stazione agricola","Landwirtschaftsmaschine","农务台","Station de ferme","Stacja rolnicza","Zemědělský stroj","Tarım tezgahı","Фермерський станок","農業台","농업 작업대","農業台","محطة الزراعة"
"STR_Craft_Cook_Kit","Barbecue","Barbecue","Барбекю","Parrilla","Churrasco","Barbecue","Grill","烧烤架","Barbecue","Grill","Gril","Mangal","Барбекю","バーベキュー","바비큐","烤肉架","شواية"
"STR_Craft_Build_Kit","Construction Station","Construction Station","Строительный станок","Estación de construcción","Estação de construção","Stazione di costruzione","Konstruktionsstation","建筑工作台","Station de construction","Stacja budowlana","Stavební stanice","İnşaat tezgahı","Будівельний станок","建設台","건설 작업대","建造台","محطة البناء"

"STR_Garden","Farming Station","Farming Station","Фермерский станок","Estación de cultivo","Estação agrícola","Stazione agricola","Landwirtschaftsmaschine","农务台","Station de ferme","Stacja rolnicza","Zemědělský stroj","Tarım tezgahı","Фермерський станок","農業台","농업 작업대","農業台","محطة الزراعة"
"STR_Cook","Barbecue","Barbecue","Барбекю","Parrilla","Churrasco","Barbecue","Grill","烧烤架","Barbecue","Grill","Gril","Mangal","Барбекю","バーベキュー","바비큐","烤肉架","شواية"
"STR_Build","Construction Station","Construction Station","Строительный станок","Estación de construcción","Estação de construção","Stazione di costruzione","Konstruktionsstation","建筑工作台","Station de construction","Stacja budowlana","Stavební stanice","İnşaat tezgahı","Будівельний станок","建設台","건설 작업대","建造台","محطة البناء"
"STR_WBName","Меню изготовления","Crafting Menu","Меню изготовления","Menú de fabricación","Menu de fabricação","Menu di creazione","Herstellungsmenü","制作菜单","Menu de fabrication","Menu wytwarzania","Výrobní menu","Üretim Menüsü","Меню виготовлення","クラフトメニュー","제작 메뉴","製作選單","قائمة التصنيع"
"STR_WB_GRINDER","Гриндер","Grinder","Гриндер","Amoladora","Esmerilhadeira","Smerigliatrice","Schleifmaschine","磨床","Meuleuse","Szlifierka","Bruska","Taşlama Makinesi","Гриндер","グラインダー","그라인더","研磨機","آلة طحن"
"STR_WB_PAINTS","Краски","Paints","Краски","Pinturas","Tintas","Vernici","Farben","颜料","Peintures","Farby","Barvy","Boyalar","Фарби","塗料","페인트","顏料","دهانات"
"STR_WB_SEWING_MACHINE","Швейная машинка","Sewing Machine","Швейная машинка","Máquina de coser","Máquina de costura","Macchina da cucire","Nähmaschine","缝纫机","Machine à coudre","Maszyna do szycia","Šicí stroj","Dikiş Makinesi","Швейна машинка","ミシン","재봉틀","縫紉機","ماكينة خياطة"
"STR_WB_SEWING_TABLE","Швейный стол","Sewing Table","Швейный стол","Mesa de costura","Mesa de costura","Tavolo da cucito","Nähtisch","缝纫台","Table de couture","Stół krawiecki","Šicí stůl","Dikiş Masası","Швейний стіл","裁縫台","재봉 작업대","縫紉桌","طاولة خياطة"
"STR_WB_SPOOL","Шпуля","Spool","Шпуля","Bobina","Bobina","Bobina","Spule","线轴","Bobine","Szpulka","Cívka","Makara","Шпуля","糸巻き","실타래","線軸","بكرة"
"STR_WB_SCISSORS","Швейные ножницы","Sewing Scissors","Швейные ножницы","Tijeras de costura","Tesoura de costura","Forbici da cucito","Nähschere","裁缝剪刀","Ciseaux de couture","Nożyczki krawieckie","Krejčovské nůžky","Dikiş Makası","Швейні ножиці","裁縫ばさみ","재봉 가위","裁縫剪刀","مقص خياطة"
"STR_WB_MICROSCOPE","Микроскоп","Microscope","Микроскоп","Microscopio","Microscópio","Microscopio","Mikroskop","显微镜","Microscope","Mikroskop","Mikroskop","Mikroskop","Мікроскоп","顕微鏡","현미경","顯微鏡","مجهر"
"STR_WB_MICROWAVE","Микроволновка","Microwave","Микроволновка","Microondas","Micro-ondas","Microonde","Mikrowelle","微波炉","Micro-ondes","Mikrofalówka","Mikrovlnka","Mikrodalga","Мікрохвильовка","電子レンジ","전자레인지","微波爐","ميكروويف"
"STR_WB_LAPTOP","Ноутбук","Laptop","Ноутбук","Portátil","Notebook","Portatile","Laptop","笔记本电脑","Ordinateur portable","Laptop","Notebook","Dizüstü Bilgisayar","Ноутбук","ノートパソコン","노트북","筆記型電腦","حاسوب محمول"
"STR_WB_LAMP","Лампа","Lamp","Лампа","Lámpara","Lâmpada","Lampada","Lampe","灯","Lampe","Lampa","Lampa","Lamba","Лампа","ランプ","램프","燈","مصباح"
"STR_WB_POWER","Питание","Power","Питание","Energía","Energia","Alimentazione","Strom","电力","Alimentation","Zasilanie","Napájení","Güç","Живлення","電源","전원","電源","طاقة"
"STR_WB_FUEL","Топливо","Fuel","Топливо","Combustible","Combustível","Carburante","Kraftstoff","燃料","Carburant","Paliwo","Palivo","Yakıt","Паливо","燃料","연료","燃料","وقود"
"STR_WB_WORKTOP","Столешница","Worktop","Столешница","Encimera","Bancada","Piano di lavoro","Arbeitsfläche","工作台面","Plan de travail","Blat roboczy","Pracovní deska","Tezgah","Стільниця","作業台","작업대","工作檯","سطح عمل"
"STR_WB_TOOLS","Инструменты","Tools","Инструменты","Herramientas","Ferramentas","Attrezzi","Werkzeuge","工具","Outils","Narzędzia","Nářadí","Aletler","Інструменти","工具","도구","工具","أدوات"
